V1;dN.dS
CT04_06257;0.47060810981934
CT04_06261;0.396737588733869
CT04_06293;0.356605221918267
CT04_06497;NA
CT04_06689;0.432876640065638
CT04_07148;0.379130923585251
CT04_07149;0.231879848898717
CT04_07452;0.497107601913857
CT04_07581;0.271425615958579
CT04_07583;0.268928302331703
CT04_07585;0.243344161231387
CT04_07807;0.401321744926289
CT04_08057;0.338201171733334
CT04_08216;0.417469996444974
CT04_08444;NA
CT04_08677;NA
CT04_08796;0.186156025371761
CT04_08933;0.455879981526457
CT04_08969;0.298611585402293
CT04_09149;NA
CT04_09162;NA
CT04_09390;0.369638861162479
CT04_09467;0.218199030003976
CT04_09572;0.08695803992657
CT04_09599;0.216212973764575
CT04_09691;0.33965074334215
CT04_09771;0.477553195230756
CT04_09789;0.357635776180729
CT04_09804;NA
CT04_10153;NA
CT04_10374;0.252215533836504
CT04_10528;0.603072157875207
CT04_10561;0.228970519785493
CT04_10602;0.287299185139776
CT04_10662;0.729554818897349
CT04_10683;0.520698989913817
CT04_10766;NA
CT04_10768;NA
CT04_10804;NA
CT04_10907;NA
CT04_11091;0.352679586354732
CT04_11124;NA
CT04_11158;NA
CT04_11194;NA
CT04_11272;0.33177189592108
CT04_11343;0.559444973929176
CT04_11428;NA
CT04_11550;0.579004033371496
CT04_11579;0.224306230388943
CT04_11676;0.273320053953425
CT04_11708;0.141414498716894
CT04_11716;0.457258549013187
CT04_11949;0.265792143856917
CT04_11975;0.164252479605438
CT04_12042;1.06943970666449
CT04_12051;0.357695736113882
CT04_12160;NA
CT04_12409;NA
CT04_12418;NA
CT04_12469;NA
CT04_12530;0.270710911748858
CT04_12692;NA
CT04_12761;0.220334058415937
CT04_12762;NA
CT04_12851;0.421987976172051
CT04_13237;0.237349173122389
CT04_13238;NA
CT04_13259;0.469270561207595
