geneID	pegID	gFam
CBS127_11624	1004.peg.11624	gfam_12929
CBS130_11168	1003.peg.11168	gfam_12929
CBS168_07980	1005.peg.7980	gfam_12929
CS_13020	0004.peg.13020	gfam_13037
CS_13150	0004.peg.13150	gfam_13158
CH063_07556T0	0005.peg.7556	gfam_13177
CH063_03676T0	0005.peg.3676	gfam_13179
CH063_03717T0	0005.peg.3717	gfam_13179
CH063_00542T0	0005.peg.542	gfam_13180
CH063_08298T0	0005.peg.8298	gfam_13184
CH063_10908T0	0005.peg.10908	gfam_13187
CH063_13748T0	0005.peg.13748	gfam_13187
CH063_13622T0	0005.peg.13622	gfam_13201
CH063_09376T0	0005.peg.9376	gfam_13210
Cob_00509	0003.peg.509	gfam_13218
Cob_02803	0003.peg.2801	gfam_13220
Cob_03584	0003.peg.3582	gfam_13220
Cob_10603	0003.peg.10599	gfam_13226
CBS168_10180	1005.peg.10180	gfam_13232
CGGC5_1326	0002.peg.1324	gfam_13238
CGGC5_7237	0002.peg.7212	gfam_13238
CGGC5_5938	0002.peg.5919	gfam_13267
CGGC5_12575	0002.peg.12529	gfam_13267
CGGC5_12576	0002.peg.12530	gfam_13268
GLRG_11227T0	0001.peg.11227	gfam_13310
GLRG_11231T0	0001.peg.11231	gfam_13312
GLRG_06509T0	0001.peg.6509	gfam_13421
CH063_06380T0	0005.peg.6380	gfam_13421
GLRG_08177T0	0001.peg.8177	gfam_13448
CH063_13531T0	0005.peg.13531	gfam_13448
GLRG_00850T0	0001.peg.850	gfam_13455
Cob_02246	0003.peg.2244	gfam_13501
CGGC5_10269	0002.peg.10230	gfam_13501
Cob_08480	0003.peg.8476	gfam_13515
CGGC5_10402	0002.peg.10362	gfam_13515
Cob_08784	0003.peg.8780	gfam_13516
CGGC5_10406	0002.peg.10366	gfam_13516
CH063_06755T0	0005.peg.6755	gfam_13526
CGGC5_10521	0002.peg.10481	gfam_13526
Cob_05294	0003.peg.5291	gfam_13546
CGGC5_10868	0002.peg.10828	gfam_13546
Cob_12884	0003.peg.12879	gfam_13550
CGGC5_11023	0002.peg.10983	gfam_13550
CGGC5_115	0002.peg.115	gfam_13581
Cob_01187	0003.peg.1186	gfam_13583
Cob_11150	0003.peg.11146	gfam_13605
CGGC5_1217	0002.peg.1215	gfam_13605
Cob_11133	0003.peg.11129	gfam_13608
CGGC5_12376	0002.peg.12331	gfam_13608
CS_09635	0004.peg.9635	gfam_13624
CGGC5_12664	0002.peg.12617	gfam_13624
CGGC5_13582	0002.peg.13524	gfam_13667
CGGC5_13613	0002.peg.13555	gfam_13672
CGGC5_1365	0002.peg.1363	gfam_13674
Cob_06442	0003.peg.6438	gfam_13675
CGGC5_13689	0002.peg.13630	gfam_13675
CGGC5_13861	0002.peg.13800	gfam_13687
Cob_09751	0003.peg.9747	gfam_13723
CGGC5_14387	0002.peg.14318	gfam_13723
Cob_03005	0003.peg.3003	gfam_13724
CGGC5_1434	0002.peg.1432	gfam_13724
CH063_11023T0	0005.peg.11023	gfam_13762
CGGC5_15066	0002.peg.14992	gfam_13762
CH063_07863T0	0005.peg.7863	gfam_13768
CH063_07664T0	0005.peg.7664	gfam_13769
CGGC5_15224	0002.peg.15146	gfam_13769
Cob_13120	0003.peg.13115	gfam_13784
CH063_05454T0	0005.peg.5454	gfam_13866
Cob_06598	0003.peg.6594	gfam_13893
CGGC5_4515	0002.peg.4504	gfam_13893
Cob_05668	0003.peg.5665	gfam_13900
CGGC5_4663	0002.peg.4650	gfam_13900
CH063_11035T0	0005.peg.11035	gfam_13920
CGGC5_5089	0002.peg.5075	gfam_13920
Cob_11239	0003.peg.11235	gfam_13941
CGGC5_5747	0002.peg.5729	gfam_13941
Cob_05287	0003.peg.5284	gfam_13948
CGGC5_5990	0002.peg.5971	gfam_13948
Cob_02443	0003.peg.2441	gfam_13979
CGGC5_6447	0002.peg.6425	gfam_13982
CGGC5_6804	0002.peg.6781	gfam_14006
Cob_08749	0003.peg.8745	gfam_14023
CGGC5_7008	0002.peg.6983	gfam_14023
Cob_02338	0003.peg.2336	gfam_14030
Cob_01867	0003.peg.1865	gfam_14047
CGGC5_7578	0002.peg.7552	gfam_14047
CGGC5_7816	0002.peg.7787	gfam_14070
Cob_05391	0003.peg.5388	gfam_14100
Cob_07570	0003.peg.7566	gfam_14103
