gFam;geneID
gfam_11708;CT04_01337
gfam_11708;CBS127_00613
gfam_11708;CBS130_06910
gfam_11708;CBS168_10785
gfam_11708;CBS495_01965
gfam_11725;CT04_01886
gfam_11757;CT04_02913
gfam_11757;CBS127_08766
gfam_11757;CBS130_12510
gfam_11757;CBS168_04465
gfam_11757;CBS495_12498
gfam_11758;CT04_02934
gfam_11758;CBS127_08780
gfam_11758;CBS130_05588
gfam_11758;CBS168_04451
gfam_11758;CBS495_04860
gfam_11787;CT04_04055
gfam_11787;CBS127_05303
gfam_11787;CBS130_10176
gfam_11787;CBS168_08719
gfam_11787;CBS495_05756
gfam_11793;CT04_04204
gfam_11793;CBS127_09322
gfam_11793;CBS130_07658
gfam_11793;CBS168_10134
gfam_11793;CBS495_09909
gfam_11820;CBS127_10301
gfam_11820;CBS130_06082
gfam_11820;CBS168_06203
gfam_11820;CBS495_07911
gfam_11840;CT04_05793
gfam_11840;CBS168_06572
gfam_11859;CT04_06120
gfam_11859;CBS127_01083
gfam_11859;CBS130_04954
gfam_11859;CBS495_06342
gfam_11921;CT04_08444
gfam_11921;CBS127_02778
gfam_11921;CBS130_06372
gfam_11921;CBS168_00711
gfam_11921;CBS495_08175
gfam_11941;CT04_09162
gfam_11941;CBS127_06726
gfam_11941;CBS130_09001
gfam_11941;CBS168_08538
gfam_11941;CBS495_05160
gfam_11971;CBS127_06647
gfam_11971;CBS130_05380
gfam_11971;CBS168_02316
gfam_11971;CBS495_00807
gfam_11992;Cob_01200
gfam_11992;Cob_08941
gfam_12028;CS_03901
gfam_12041;CT04_03258
gfam_12041;CBS127_12512
gfam_12041;CS_13568
gfam_12041;GLRG_11273T0
gfam_12071;CH063_12064T0
gfam_12074;CBS130_03943
gfam_12074;CS_09778
gfam_12074;GLRG_04707T0
gfam_12074;CH063_01386T0
gfam_12111;CT04_01812
gfam_12111;CBS127_06032
gfam_12111;GLRG_00911T0
gfam_12111;CH063_04125T0
gfam_12148;CS_00338
gfam_12148;CH063_06415T0
gfam_12163;CGGC5_1592
gfam_12172;CBS495_06865
gfam_12172;CH063_01084T0
gfam_12172;Cob_06329
gfam_12172;CGGC5_3353
gfam_12174;CT04_03257
gfam_12174;CT04_10561
gfam_12174;CGGC5_3370
gfam_12194;CS_11459
gfam_12194;CGGC5_7542
gfam_12220;CT04_10766
gfam_12220;CBS127_07083
gfam_12220;CBS130_01039
gfam_12220;CBS495_02264
gfam_12221;CT04_11194
gfam_12221;CBS127_03595
gfam_12221;CBS130_08122
gfam_12253;CT04_04758
gfam_12279;CBS130_01630
gfam_12279;CBS495_11376
gfam_12287;CBS168_01797
gfam_12288;CBS127_11562
gfam_12288;CBS130_03746
gfam_12288;CBS168_12801
gfam_12288;CBS495_12225
gfam_12295;CBS127_04662
gfam_12295;CBS130_03116
gfam_12295;CBS168_03903
gfam_12295;CBS495_01619
gfam_12317;CBS127_06414
gfam_12317;CBS130_00938
gfam_12317;CBS168_05568
gfam_12317;CBS495_04425
gfam_12326;CBS168_01099
gfam_12332;CBS127_04342
gfam_12332;CBS168_06772
gfam_12339;CBS127_06534
gfam_12339;CBS130_08460
gfam_12339;CBS168_00078
gfam_12339;CBS495_00078
gfam_12406;CS_08575
gfam_12406;CH063_10826T0
gfam_12406;CH063_13516T0
gfam_12447;CGGC5_15427
gfam_12459;CGGC5_13891
gfam_12487;CGGC5_15105
gfam_12513;Cob_10897
gfam_12513;CGGC5_9120
gfam_12608;CH063_07488T0
gfam_12608;Cob_06857
gfam_12608;CGGC5_10188
gfam_12632;CGGC5_11626
gfam_12639;Cob_02751
gfam_12640;CS_10119
gfam_12640;CGGC5_12601
gfam_12651;CH063_01399T0
gfam_12651;Cob_09346
gfam_12651;CGGC5_13865
gfam_12680;Cob_10388
gfam_12698;CH063_04757T0
gfam_12698;Cob_08268
gfam_12698;CGGC5_398
gfam_12704;CH063_10822T0
gfam_12704;Cob_11289
gfam_12704;CGGC5_4117
gfam_12712;CS_11610
gfam_12712;Cob_05398
gfam_12735;CS_01388
gfam_12735;CH063_10844T0
gfam_12735;CGGC5_6805
gfam_12736;CS_09841
gfam_12736;Cob_02046
gfam_12736;CGGC5_6817
gfam_12752;CH063_10503T0
gfam_12752;Cob_00326
gfam_12752;CGGC5_7871
gfam_12789;CH063_03854T0
gfam_12789;Cob_13064
gfam_12792;CS_09230
gfam_12792;CH063_01004T0
gfam_12792;Cob_04605
gfam_12794;CS_01846
gfam_12794;CH063_13357T0
gfam_12794;Cob_05705
gfam_12803;CBS495_10162
gfam_12887;CBS127_06323
gfam_12887;CBS168_12594
gfam_12887;CBS495_11311
gfam_12903;CBS130_03275
